0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:06:11 +0530] "GET /ORS_0/ctl/Faculty/AddFaculty HTTP/1.1" 200 20473
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:06:20 +0530] "GET /ORS_0/ctl/Student/AddStudent HTTP/1.1" 200 19971
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:06:33 +0530] "GET /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:06:36 +0530] "GET /ORS_0/Welcome HTTP/1.1" 200 13431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:07:30 +0530] "GET /ORS_0/ctl/User/AddUser HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:07:33 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 22011
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:07:46 +0530] "POST /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:07:50 +0530] "POST /ORS_0/ctl/User/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:07:50 +0530] "GET /ORS_0/ctl/User/AddUser?enterfFirstName=Enter+First+Name&enterLastName=Enter+Surname HTTP/1.1" 200 21496
0:0:0:0:0:0:0:1 - - [06/Apr/2021:16:07:55 +0530] "GET /ORS_0/ctl/User/UserListCtl HTTP/1.1" 200 22011
